,localidade,municipio,estado,data_avistamento,municipio_estado
397,Praia da Ponta dos Mangues,Pirambu,SE,2019-11-07,Pirambu/SE
398,Pontas dos Mangues,Pacatuba,SE,2019-11-07,Pacatuba/SE
399,Praia do Marciano,Ilhéus,BA,2019-11-07,Ilhéus/BA
400,Praia de São Miguel,Ilhéus,BA,2019-11-07,Ilhéus/BA
401,Praia da Pedra,Sirinhaém,PE,2019-11-07,Sirinhaém/PE
402,Praia de Olivença,Ilhéus,BA,2019-11-07,Ilhéus/BA
403,Praia dos Milionários,Ilhéus,BA,2019-11-07,Ilhéus/BA
404,Terceira Praia,Cairu,BA,2019-11-07,Cairu/BA
405,Praia do Peba,Piaçabuçu,AL,2019-11-07,Piaçabuçu/AL
406,Praia da Concha,Itacaré,BA,2019-11-08,Itacaré/BA
407,Praia de Siribinha,Entre Rios,BA,2019-11-08,Entre Rios/BA
408,Praia do Sagi,Baía Formosa,RN,2019-11-08,Baía Formosa/RN
409,Praia de Aruanã,Aracaju,SE,2019-11-08,Aracaju/SE
410,Praia do Mosqueiro,Aracaju,SE,2019-11-08,Aracaju/SE
411,Porto do Sauipe - Cond. Águas de Sauipe,Entre Rios,BA,2019-11-08,Entre Rios/BA
412,Praia da Barra Nova,São Mateus,ES,2019-11-08,São Mateus/ES
413,Praia de Lençóis,Una,BA,2019-11-08,Una/BA
414,Praia de Saquaíra,Maraú,BA,2019-11-08,Maraú/BA
415,Praia dos Corais,Alcobaça,BA,2019-11-08,Alcobaça/BA
416,Praia do quati,Alcobaça,BA,2019-11-08,Alcobaça/BA
417,Praia de Cururupe,Ilhéus,BA,2019-11-08,Ilhéus/BA
418,Praia de Cumuruxatiba,Prado,BA,2019-11-08,Prado/BA
419,Praia de Cumuruxatiba,Prado,BA,2019-11-08,Prado/BA
420,Praia do Pontal,Ilha Grande,PI,2019-11-08,Ilha Grande/PI
421,Praia dos Coqueiros,Alcobaça,BA,2019-11-08,Alcobaça/BA
422,Praia de Mundaú,Trairi,CE,2019-11-08,Trairi/CE
423,Praia da Paixão,Prado,BA,2019-11-08,Prado/BA
424,Praia de Guaibim,Itaparica,BA,2019-11-08,Itaparica/BA
425,Praia de Guriri,São Mateus,ES,2019-11-09,São Mateus/ES
426,Praia Pé de Serra,Uruçuca,BA,2019-11-09,Uruçuca/BA
427,Praia do cemitério,Uruçuca,BA,2019-11-09,Uruçuca/BA
428,Praia de Jatobá,Barra Dos Coqueiros,SE,2019-11-09,Barra Dos Coqueiros/SE
429,Praia de Sabiaguaba,Fortaleza,CE,2019-11-09,Fortaleza/CE
430,Poças e Siribinha até a foz do Rio Itapicuru,Conde,BA,2019-11-09,Conde/BA
431,Praia Pontal da Barra,Barra Dos Coqueiros,SE,2019-11-09,Barra Dos Coqueiros/SE
432,Praia de Guaiu,Santa Cruz Cabrália,BA,2019-11-09,Santa Cruz Cabrália/BA
433,Praia de Pratigi,Ituberá,BA,2019-11-09,Ituberá/BA
434,Praia do Casssange,Maraú,BA,2019-11-09,Maraú/BA
435,Praia de Barramares,Ilhéus,BA,2019-11-09,Ilhéus/BA
436,Praia da Amendoeira,Prado,BA,2019-11-09,Prado/BA
437,Praia de Guaratiba,Prado,BA,2019-11-09,Prado/BA
438,Praia de Back Door,Ilhéus,BA,2019-11-09,Ilhéus/BA
439,Praia de Batuba,Ilhéus,BA,2019-11-09,Ilhéus/BA
440,Praia de Urussuquara,São Mateus,ES,2019-11-09,São Mateus/ES
441,Praia de Cueira,Cairu,BA,2019-11-09,Cairu/BA
442,Praia do Poxim,Canavieiras,BA,2019-11-09,Canavieiras/BA
443,Praia de Tassimirim,Cairu,BA,2019-11-09,Cairu/BA
444,Praia Pirambu,Pirambu,SE,2019-11-09,Pirambu/SE
445,Praia de São Domingos,Ilhéus,BA,2019-11-09,Ilhéus/BA
446,Praia de Tassimirim,Cairu,BA,2019-11-09,Cairu/BA
447,Praia do Centro,Prado,BA,2019-11-09,Prado/BA
448,Praia de Urussuquara,São Mateus,ES,2019-11-09,São Mateus/ES
449,Boa Viagem,Estância,SE,2019-11-10,Estância/SE
450,Primeira Praia,Cairu,BA,2019-11-10,Cairu/BA
451,Praia do Pontal do Ipiranga,Linhares,ES,2019-11-10,Linhares/ES
452,Praia do Pontal do Ipiranga,Linhares,ES,2019-11-10,Linhares/ES
453,Barra do Guaju,Baía Formosa,RN,2019-11-10,Baía Formosa/RN
454,Praia de Icarai de Amontada,Amontada,CE,2019-11-10,Amontada/CE
455,Espraiado,Acaraú,CE,2019-11-10,Acaraú/CE
456,Ponta dos Tubarões,Igrapiúna,BA,2019-11-10,Igrapiúna/BA
457,Praia do Abaís,Estância,SE,2019-11-10,Estância/SE
458,Praia de Siribinha,Conde,BA,2019-11-10,Conde/BA
459,Praia de Barra de Tabatinga,Nísia Floresta,RN,2019-11-10,Nísia Floresta/RN
460,Praia de Malembá,Nísia Floresta,RN,2019-11-10,Nísia Floresta/RN
461,Ilha dos Poldros,Araioses,MA,2019-11-10,Araioses/MA
462,Praia do Paiva,Cabo De Santo Agostinho,PE,2019-11-10,Cabo De Santo Agostinho/PE
463,Praia de Saquaíra,Maraú,BA,2019-11-10,Maraú/BA
464,Praia do Quati,Prado,BA,2019-11-10,Prado/BA
465,Praia do Pontal,Cairu,BA,2019-11-10,Cairu/BA
466,Praia de Guaiu,Santa Cruz Cabrália,BA,2019-11-10,Santa Cruz Cabrália/BA
467,Praia da Barra Nova,São Mateus,ES,2019-11-10,São Mateus/ES
468,Praia de Cumuruxatiba,Prado,BA,2019-11-10,Prado/BA
469,Praia de Mogiquiçaba,Santa Cruz Cabrália,BA,2019-11-10,Santa Cruz Cabrália/BA
470,Praia do Grauçá,Caravelas,BA,2019-11-10,Caravelas/BA
471,Praia de Povoação,Linhares,ES,2019-11-10,Linhares/ES
472,Praia de Barra Seca,Linhares,ES,2019-11-10,Linhares/ES
473,Praia de Urussuquara,São Mateus,ES,2019-11-10,São Mateus/ES
474,Praia da Barra do Cauípe,Caucaia,CE,2019-11-10,Caucaia/CE
475,Praia de Pecém,São Gonçalo Do Amarante,CE,2019-11-10,São Gonçalo Do Amarante/CE
476,Praia do Saco,Estância,SE,2019-11-11,Estância/SE
477,Praia das Minas,Tibau Do Sul,RN,2019-11-11,Tibau Do Sul/RN
478,Praia de Itaúnas,Conceição Da Barra,ES,2019-11-11,Conceição Da Barra/ES
479,Praia de Muro Alto,Ipojuca,PE,2019-11-11,Ipojuca/PE
480,Praia da Barra Nova,São Mateus,ES,2019-11-11,São Mateus/ES
481,Praia de Urussuquara,São Mateus,ES,2019-11-11,São Mateus/ES
482,Praia do Toco,Feliz Deserto,AL,2019-11-11,Feliz Deserto/AL
483,Praia de Mangue Seco,Jandaíra,BA,2019-11-11,Jandaíra/BA
484,Praia de Jatobá,Barra Dos Coqueiros,SE,2019-11-11,Barra Dos Coqueiros/SE
485,Praia Atalaia Nova,Barra Dos Coqueiros,SE,2019-11-11,Barra Dos Coqueiros/SE
486,Praia da Barra do Albino,Canavieiras,BA,2019-11-11,Canavieiras/BA
487,Praia da Costa,Canavieiras,BA,2019-11-11,Canavieiras/BA
488,Praia de Três Coqueiros (Praia de Bombaça),Maraú,BA,2019-11-11,Maraú/BA
489,Praia de Taipus de Fora,Maraú,BA,2019-11-11,Maraú/BA
490,Praia de Gaibu,Cabo De Santo Agostinho,PE,2019-11-11,Cabo De Santo Agostinho/PE
491,Praia Havaizinho,Itacaré,BA,2019-11-11,Itacaré/BA
492,Praia de Japara Grande,Prado,BA,2019-11-11,Prado/BA
493,Praia da Barra Nova,São Mateus,ES,2019-11-11,São Mateus/ES
494,Praia da Barra Nova,São Mateus,ES,2019-11-11,São Mateus/ES
495,Praia da Barra Nova,São Mateus,ES,2019-11-11,São Mateus/ES
496,Praia de Pontal do Peba,Piaçabuçu,AL,2019-11-11,Piaçabuçu/AL
497,Praia Formosa,Aracruz,ES,2019-11-11,Aracruz/ES
498,Praia da Costa,Canavieiras,BA,2019-11-11,Canavieiras/BA
499,Praia Itacarezinho,Itacaré,BA,2019-11-11,Itacaré/BA
500,Praia de Regência,Linhares,ES,2019-11-11,Linhares/ES
501,Praia do Meio,Natal,RN,2019-11-11,Natal/RN
502,Praia de Jairi,Ilhéus,BA,2019-11-11,Ilhéus/BA
503,Praia do Degredo,Linhares,ES,2019-11-11,Linhares/ES
504,Praia de Canabrava,Ilhéus,BA,2019-11-11,Ilhéus/BA
505,Praia do Paiva,Cabo De Santo Agostinho,PE,2019-11-11,Cabo De Santo Agostinho/PE
506,Praia de Bainema,Cairu,BA,2019-11-11,Cairu/BA
507,Praia da Costa,Canavieiras,BA,2019-11-12,Canavieiras/BA
508,Praia de Búzios,Nísia Floresta,RN,2019-11-12,Nísia Floresta/RN
509,Praia de Camurupim,Nísia Floresta,RN,2019-11-12,Nísia Floresta/RN
510,Praia da Ponta do Ramo,Uruçuca,BA,2019-11-12,Uruçuca/BA
511,Praia Pé de Serra,Uruçuca,BA,2019-11-12,Uruçuca/BA
512,Praia de Jatobá,Barra Dos Coqueiros,SE,2019-11-12,Barra Dos Coqueiros/SE
513,Praia de Jatobá,Barra Dos Coqueiros,SE,2019-11-12,Barra Dos Coqueiros/SE
514,Praia de Itaúnas,Conceição Da Barra,ES,2019-11-12,Conceição Da Barra/ES
